2014-11-03 08:34:10 startup archives unpack
2014-11-03 08:34:10 install cpuburn:amd64 <none> 1.4a-3
2014-11-03 08:34:10 status half-installed cpuburn:amd64 1.4a-3
2014-11-03 08:34:10 status triggers-pending man-db:amd64 2.6.2-1
2014-11-03 08:34:10 status half-installed cpuburn:amd64 1.4a-3
2014-11-03 08:34:10 status unpacked cpuburn:amd64 1.4a-3
2014-11-03 08:34:10 status unpacked cpuburn:amd64 1.4a-3
2014-11-03 08:34:10 trigproc man-db:amd64 2.6.2-1 2.6.2-1
2014-11-03 08:34:10 status half-configured man-db:amd64 2.6.2-1
2014-11-03 08:34:11 status installed man-db:amd64 2.6.2-1
2014-11-03 08:34:11 startup packages configure
2014-11-03 08:34:11 configure cpuburn:amd64 1.4a-3 <none>
2014-11-03 08:34:11 status unpacked cpuburn:amd64 1.4a-3
2014-11-03 08:34:11 status half-configured cpuburn:amd64 1.4a-3
2014-11-03 08:34:12 status installed cpuburn:amd64 1.4a-3
2014-11-03 08:35:26 startup archives unpack
2014-11-03 08:35:26 install libsensors4:amd64 <none> 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status half-installed libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status unpacked libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status unpacked libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 install lm-sensors:amd64 <none> 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status half-installed lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status triggers-pending man-db:amd64 2.6.2-1
2014-11-03 08:35:26 status half-installed lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status unpacked lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 status unpacked lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:26 trigproc man-db:amd64 2.6.2-1 2.6.2-1
2014-11-03 08:35:26 status half-configured man-db:amd64 2.6.2-1
2014-11-03 08:35:27 status installed man-db:amd64 2.6.2-1
2014-11-03 08:35:28 startup packages configure
2014-11-03 08:35:28 configure libsensors4:amd64 1:3.3.2-2+deb7u1 <none>
2014-11-03 08:35:28 status unpacked libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status unpacked libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status unpacked libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status half-configured libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status installed libsensors4:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 configure lm-sensors:amd64 1:3.3.2-2+deb7u1 <none>
2014-11-03 08:35:28 status unpacked lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status unpacked lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status half-configured lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:35:28 status installed lm-sensors:amd64 1:3.3.2-2+deb7u1
2014-11-03 08:48:43 startup archives unpack
2014-11-03 08:48:43 install psmisc:amd64 <none> 22.19-1+deb7u1
2014-11-03 08:48:43 status half-installed psmisc:amd64 22.19-1+deb7u1
2014-11-03 08:48:43 status triggers-pending man-db:amd64 2.6.2-1
2014-11-03 08:48:43 status half-installed psmisc:amd64 22.19-1+deb7u1
2014-11-03 08:48:44 status unpacked psmisc:amd64 22.19-1+deb7u1
2014-11-03 08:48:44 status unpacked psmisc:amd64 22.19-1+deb7u1
2014-11-03 08:48:44 trigproc man-db:amd64 2.6.2-1 2.6.2-1
2014-11-03 08:48:44 status half-configured man-db:amd64 2.6.2-1
2014-11-03 08:48:44 status installed man-db:amd64 2.6.2-1
2014-11-03 08:48:45 startup packages configure
2014-11-03 08:48:45 configure psmisc:amd64 22.19-1+deb7u1 <none>
2014-11-03 08:48:45 status unpacked psmisc:amd64 22.19-1+deb7u1
2014-11-03 08:48:45 status half-configured psmisc:amd64 22.19-1+deb7u1
2014-11-03 08:48:45 status installed psmisc:amd64 22.19-1+deb7u1
2014-11-03 13:51:15 startup archives unpack
2014-11-03 13:51:15 install screen:amd64 <none> 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:15 status half-installed screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:15 status triggers-pending install-info:amd64 4.13a.dfsg.1-10
2014-11-03 13:51:15 status half-installed screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:15 status triggers-pending man-db:amd64 2.6.2-1
2014-11-03 13:51:15 status half-installed screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:15 status unpacked screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:15 status unpacked screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:15 trigproc install-info:amd64 4.13a.dfsg.1-10 4.13a.dfsg.1-10
2014-11-03 13:51:15 status half-configured install-info:amd64 4.13a.dfsg.1-10
2014-11-03 13:51:15 status installed install-info:amd64 4.13a.dfsg.1-10
2014-11-03 13:51:15 trigproc man-db:amd64 2.6.2-1 2.6.2-1
2014-11-03 13:51:15 status half-configured man-db:amd64 2.6.2-1
2014-11-03 13:51:16 status installed man-db:amd64 2.6.2-1
2014-11-03 13:51:16 startup packages configure
2014-11-03 13:51:16 configure screen:amd64 4.1.0~20120320gitdb59704-7 <none>
2014-11-03 13:51:16 status unpacked screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:16 status unpacked screen:amd64 4.1.0~20120320gitdb59704-7
2014-11-03 13:51:16 status unpacked screen:amd64 4.1.0~20120320gitdb59704-7
